corruption,severity,top1_accuracy
brightness,1,81.5219
brightness,2,74.4423
brightness,3,68.3787
brightness,4,61.1189
brightness,5,55.0874
contrast,1,82.0790
contrast,2,76.9139
contrast,3,69.7227
contrast,4,63.8064
contrast,5,56.4464
defocus_blur,1,76.3967
defocus_blur,2,65.3154
defocus_blur,3,52.9695
defocus_blur,4,37.9538
defocus_blur,5,23.6430
elastic_transform,1,80.4133
elastic_transform,2,72.5712
elastic_transform,3,65.6200
elastic_transform,4,57.7168
elastic_transform,5,47.5962
fog,1,79.2747
fog,2,70.1344
fog,3,60.0812
fog,4,49.5074
fog,5,40.8441
frost,1,79.1396
frost,2,70.2314
frost,3,61.3223
frost,4,53.2246
frost,5,43.0321
gaussian_blur,1,76.7714
gaussian_blur,2,64.8222
gaussian_blur,3,52.1133
gaussian_blur,4,39.7260
gaussian_blur,5,24.9354
gaussian_noise,1,78.0574
gaussian_noise,2,67.8306
gaussian_noise,3,57.4406
gaussian_noise,4,43.6140
gaussian_noise,5,29.3751
glass_blur,1,75.6319
glass_blur,2,61.5695
glass_blur,3,48.1661
glass_blur,4,33.6747
glass_blur,5,18.3642
impulse_noise,1,78.4485
impulse_noise,2,69.1642
impulse_noise,3,59.4387
impulse_noise,4,48.0311
impulse_noise,5,34.8363
jpeg_compression,1,80.6442
jpeg_compression,2,73.6715
jpeg_compression,3,66.6659
jpeg_compression,4,60.2670
jpeg_compression,5,51.9222
motion_blur,1,75.5710
motion_blur,2,61.6704
motion_blur,3,48.6536
motion_blur,4,30.5744
motion_blur,5,14.1579
pixelate,1,80.5355
pixelate,2,72.2197
pixelate,3,63.7879
pixelate,4,55.1611
pixelate,5,46.4788
saturate,1,80.7533
saturate,2,72.6082
saturate,3,64.6198
saturate,4,56.7933
saturate,5,48.1363
shot_noise,1,76.9162
shot_noise,2,67.3270
shot_noise,3,56.0809
shot_noise,4,42.9788
shot_noise,5,31.3916
snow,1,78.1813
snow,2,69.4606
snow,3,58.6461
snow,4,47.4859
snow,5,36.3842
spatter,1,79.4264
spatter,2,70.5076
spatter,3,62.1246
spatter,4,53.2723
spatter,5,42.5944
speckle_noise,1,77.9416
speckle_noise,2,69.5860
speckle_noise,3,58.7841
speckle_noise,4,47.1484
speckle_noise,5,35.9244
zoom_blur,1,77.3324
zoom_blur,2,67.9201
zoom_blur,3,57.1936
zoom_blur,4,42.7363
zoom_blur,5,28.1361
