corruption,severity,top1_accuracy
brightness,1,81.5138
brightness,2,74.3668
brightness,3,68.2598
brightness,4,61.1696
brightness,5,55.0594
clean,0,86.7000
contrast,1,82.1114
contrast,2,76.8897
contrast,3,69.6221
contrast,4,63.8137
contrast,5,56.4459
defocus_blur,1,76.3802
defocus_blur,2,65.2297
defocus_blur,3,52.8031
defocus_blur,4,37.5029
defocus_blur,5,23.3769
elastic_transform,1,80.3816
elastic_transform,2,72.5759
elastic_transform,3,65.4759
elastic_transform,4,57.7235
elastic_transform,5,47.5682
fog,1,79.2403
fog,2,70.1363
fog,3,60.0111
fog,4,49.5621
fog,5,40.8752
frost,1,79.1126
frost,2,70.2248
frost,3,61.2500
frost,4,53.1699
frost,5,43.0041
gaussian_blur,1,76.7650
gaussian_blur,2,64.8303
gaussian_blur,3,52.0945
gaussian_blur,4,39.6504
gaussian_blur,5,24.9093
gaussian_noise,1,77.8474
gaussian_noise,2,67.7755
gaussian_noise,3,56.7638
gaussian_noise,4,43.5803
gaussian_noise,5,29.1905
glass_blur,1,75.5990
glass_blur,2,61.6366
glass_blur,3,48.1324
glass_blur,4,33.7458
glass_blur,5,18.3831
impulse_noise,1,78.3177
impulse_noise,2,69.1759
impulse_noise,3,59.4553
impulse_noise,4,47.8422
impulse_noise,5,34.5453
jpeg_compression,1,80.6367
jpeg_compression,2,73.6180
jpeg_compression,3,66.6880
jpeg_compression,4,60.3056
jpeg_compression,5,51.9385
motion_blur,1,75.3622
motion_blur,2,61.6108
motion_blur,3,48.7807
motion_blur,4,30.4702
motion_blur,5,14.0839
pixelate,1,80.5257
pixelate,2,72.1374
pixelate,3,63.8672
pixelate,4,55.1984
pixelate,5,46.4556
saturate,1,80.7312
saturate,2,72.5725
saturate,3,64.6122
saturate,4,56.7354
saturate,5,48.1367
shot_noise,1,76.9214
shot_noise,2,67.2865
shot_noise,3,55.9656
shot_noise,4,42.9725
shot_noise,5,31.3665
snow,1,78.1775
snow,2,69.4364
snow,3,58.5533
snow,4,47.3940
snow,5,36.3722
spatter,1,79.4068
spatter,2,70.4718
spatter,3,62.1163
spatter,4,53.2751
spatter,5,42.5550
speckle_noise,1,77.9355
speckle_noise,2,69.5749
speckle_noise,3,58.6084
speckle_noise,4,47.0516
speckle_noise,5,35.9377
zoom_blur,1,77.2332
zoom_blur,2,67.7605
zoom_blur,3,57.2365
zoom_blur,4,42.6566
zoom_blur,5,28.2522
